taxon	rank	distance	rate
Caniformia	Suborder	36.233333	0.000498
Caniformia	Suborder	36.233333	0.000509
Caniformia	Suborder	30.489712	0.000709
Caniformia	Suborder	24.237718	0.000698
Caniformia	Suborder	24.237718	0.000708
Caniformia	Suborder	32.877074	0.000821
Caniformia	Suborder	28.002608	0.000846
Caniformia	Suborder	28.002608	0.000841
Caniformia	Suborder	22.713011	0.000592
Caniformia	Suborder	22.713011	0.000599
Caniformia	Suborder	26.214068	0.000591
Caniformia	Suborder	44.041573	0.000707
Caniformia	Suborder	33.874683	0.000688
Caniformia	Suborder	33.874683	0.000693
Caniformia	Suborder	35.275581	0.000593
Caniformia	Suborder	28.722448	0.000619
Caniformia	Suborder	28.722448	0.000653
Caniformia	Suborder	36.241769	0.000837
Caniformia	Suborder	24.977755	0.000842
Caniformia	Suborder	24.977755	0.000827
Caniformia	Suborder	37.432678	0.000276
Caniformia	Suborder	29.29028	0.00031
Caniformia	Suborder	29.29028	0.000301
Caniformia	Suborder	41.431445	0.000927
Caniformia	Suborder	30.002147	0.000965
Caniformia	Suborder	30.002147	0.000975
Caniformia	Suborder	28.668716	0.000731
Caniformia	Suborder	28.668716	0.000751
Caniformia	Suborder	34.589251	0.000704
Caniformia	Suborder	29.931523	0.000716
Caniformia	Suborder	29.931523	0.000719
Caniformia	Suborder	36.095753	0.000709
Caniformia	Suborder	23.353727	0.000934
Caniformia	Suborder	23.353727	0.000952
Caniformia	Suborder	46.585447	0.001079
Caniformia	Suborder	26.721523	0.000348
Caniformia	Suborder	26.721523	0.000359
Caniformia	Suborder	24.05454	0.000641
Caniformia	Suborder	24.05454	0.000648
Caniformia	Suborder	38.669915	0.000371
Caniformia	Suborder	34.430685	0.001966
Caniformia	Suborder	30.126133	0.001923
Caniformia	Suborder	30.126133	0.001966
Carnivora	Order	90.949137	0.000087
Carnivora	Order	39.869621	0.000713
Carnivora	Order	35.116489	0.000514
Carnivora	Order	42.867059	0.001048
Carnivora	Order	49.43214	0.000657
Carnivora	Order	61.892316	0.000453
Carnivora	Order	52.864252	0.00057
Carnivora	Order	52.864252	0.000532
Carnivora	Order	42.209288	0.000738
Carnivora	Order	42.998399	0.000786
Carnivora	Order	48.696557	0.00067
Carnivora	Order	32.137735	0.000591
Carnivora	Order	43.744348	0.000607
Carnivora	Order	60.280386	0.000829
Carnivora	Order	47.759504	0.000291
Carnivora	Order	49.554462	0.000842
Carnivora	Order	44.596346	0.000724
Carnivora	Order	49.047067	0.000708
Carnivora	Order	32.950531	0.000636
Cetartiodactyla	Order	83.340132	0.000225
Cetartiodactyla	Order	65.885744	0.000243
Cetartiodactyla	Order	65.885744	0.000129
Cetartiodactyla	Order	92.952879	0.000272
Cetartiodactyla	Order	32.496878	0.000792
Cetartiodactyla	Order	32.496878	0.000759
Cetartiodactyla	Order	41.811795	0.00077
Cetartiodactyla	Order	41.811795	0.00075
Cetartiodactyla	Order	54.127976	0.000477
Cetartiodactyla	Order	43.715891	0.0005
Cetartiodactyla	Order	43.715891	0.000487
Cetartiodactyla	Order	38.713445	0.001086
Cetartiodactyla	Order	38.713445	0.001088
Cetartiodactyla	Order	70.917315	0.000821
Cetartiodactyla	Order	71.585934	0.000748
Cetartiodactyla	Order	50.868036	0.000422
Cetartiodactyla	Order	50.868036	0.00036
Cetartiodactyla	Order	74.99871	0.000726
Cetartiodactyla	Order	38.09755	0.000551
Cetartiodactyla	Order	38.09755	0.000534
Cetartiodactyla	Order	45.709182	0.000571
Cetartiodactyla	Order	45.709182	0.000599
Cetartiodactyla	Order	39.129708	0.000685
Cetartiodactyla	Order	39.129708	0.000687
Cetartiodactyla	Order	39.102982	0.000711
Cetartiodactyla	Order	39.102982	0.0007
Cetartiodactyla	Order	35.955601	0.000821
Cetartiodactyla	Order	35.955601	0.000799
Cetartiodactyla	Order	53.910716	0.000882
Cetartiodactyla	Order	53.910716	0.000932
Cetartiodactyla	Order	28.982242	0.000597
Cetartiodactyla	Order	28.982242	0.000593
Cetartiodactyla	Order	41.146944	0.000592
Cetartiodactyla	Order	39.993907	0.00065
Cetartiodactyla	Order	39.993907	0.000646
Cetartiodactyla	Order	35.926893	0.000594
Cetartiodactyla	Order	54.281182	0.000652
Cetartiodactyla	Order	52.806509	0.000579
Cetartiodactyla	Order	55.139303	0.00055
Cetartiodactyla	Order	32.917362	0.000492
Cetartiodactyla	Order	32.917362	0.000488
Cetartiodactyla	Order	47.389459	0.000652
Cetartiodactyla	Order	51.179404	0.000687
Cetartiodactyla	Order	36.490517	0.000651
Cetartiodactyla	Order	36.490517	0.000588
Cetartiodactyla	Order	50.490791	0.000551
